Ranking,Car_ID,Year,Car_Make,Car_Model,Total
1,124,2015,Jeep,Wrangler,124
2,15,2014,Audi,S4,120
3,113,2012,Acura,Tsx sportwagon,116
4,83,2014,Honda,Accord,112
5,112,2008,Acura,TL,110
6,65,2009,Honda,Fit,106
7,114,2015,Acura,TLX,102
7,31,2007,Honda,Fit,102
7,91,2010,Mitsu,Lancer,102
8,216,2007,Chrystler,300,96
9,126,2010,Volkswagen,Eos,92
9,175,2006,Honda,Civic,92
9,228,2010,Nissan,370,92
9,37,2016,Honda,Civic 1.5t,92
10,127,2013,Acura,Tsx,86
10,63,2010,Honda,Civic,86
11,153,2011,Nissan,370,84
11,161,2012,Nissan,370z,84
12,180,2011,Volkswagen,Gti,82
13,57,2015,Scion,Frs,80
14,106,2007,Acura,Tl type s,78
14,25,2012,Mercedes,C250,78
15,36,2016,Subaru,WRX,74
16,103,2010,Acura,Tsx,72
16,178,2009,Honda,Oddesy,72
16,39,2011,Honda,Civic,72
17,84,2012,Mercedes,Cl63amg,70
18,33,2015,Subaru,Sti,68
19,1051,2006,Acura,Tsx,66
19,123,2006,Lexus,Sc430,66
19,30,2012,Hyundai,Celoster,66
20,158,2007,Nissan,350z,64
20,218,2010,Chevy,Camaro,64
20,41,2012,Acura,Tsx,64
21,12,1990,Nissan,240,62
21,21,2009,Subaru,WRX,62
21,23,1998,Subaru,Legacy,62
21,38,2017,Hyundai,Elantra sport,62
21,48,2015,Acura,TLX,62
22,35,2016,Honda,Civic,60
22,53,2013,Subaru,WRX,60
23,110,2011,Toyota,Camry,58
23,142,1993,Toyota,Supra,58
24,115,2001,Honda,Crv,56
24,156,2014,Volkswagen,Gli,56
25,137,2017,Ford,Focus rs,54
25,37,2015,Subaru,Sti,54
25,43,2011,Toyota,4 Runner,54
25,6,2016,Volkswagen,Golf r,54
26,134,2013,Subaru,WRX,52
26,225,2016,Acura,TLX,52
27,170,2014,Chevy,Cruze,50
27,189,2012,Toyota,Fj cruiser,50
27,51,2015,Subaru,WRX,50
27,5,2003,Acura,Rsx,50
28,104,2014,Civic coupe,Si,48
28,211,2004,Acura,Tsx,48
28,52,2007,Mazda,Speed 3,48
28,88,2008,Honda,Accord,48
29,232,2018,Subaru,WRX,46
30,118,1993,Honda,Civic,44
30,121,2012,Acura,TL,44
30,122,2011,Infinity,M37s,44
30,140,1995,Mitsu,Evo8,44
30,8,1991,Nissan,Skyline,44
30,9,1996,Nissan,240,44
